CellID;PCI_A;PCI_B;PCI_Rand
L431363;0;0;0
L431361;1;1;1
L431362;2;2;2
L344065;3;3;3
L344067;4;4;4
L344066;5;5;5
L1525509;6;6;6
L1525510;7;7;7
L1525508;8;8;8
L236033;9;9;9
L236034;10;10;10
L236035;11;11;11
L1361413;12;12;12
L1361412;13;13;13
L1361414;14;14;14
L428034;15;15;15
L428033;16;16;16
L428035;17;17;17
L1319172;18;18;18
L1319174;19;19;19
L1319173;20;20;20
L1470470;21;21;21
L1470468;22;22;22
L1470469;23;23;23
L1523715;24;24;24
L1523713;25;25;25
L1523714;26;26;26
L1469701;27;27;27
L1469702;28;28;28
L1469700;29;29;29
L425730;30;30;30
L425731;31;31;31
L425729;32;32;32
L429059;33;33;33
L429058;34;34;34
L429057;35;35;35
L1472516;36;36;36
L1472518;37;37;37
L1472517;38;38;38
L421378;39;39;39
L421379;40;40;40
L421377;41;41;41
L485633;42;42;42
L485635;43;43;43
L485634;44;44;44
L143362;45;45;45
L143361;46;46;46
L239106;47;47;47
L239107;48;48;48
L239105;49;49;49
L237569;50;50;50
L205826;51;51;51
L205825;52;52;52
L427522;53;53;53
L427523;54;54;54
L427521;55;55;55
L426244;56;56;56
L426243;57;57;57
L208897;58;58;58
L208899;59;59;59
L208898;60;60;60
L385281;61;61;61
L385283;62;62;62
L385282;63;63;63
L1598209;64;64;64
L1598210;65;65;65
L1598211;66;66;66
L238081;67;67;67
L238083;68;68;68
L238082;69;69;69
L1871364;70;70;70
L1871366;71;71;71
L1871365;72;72;72
L249603;73;73;73
L249601;74;74;74
L249602;75;75;75
L1803524;76;76;76
L1803526;77;77;77
L1803525;78;78;78
L428547;79;79;79
L428545;80;80;80
L428546;81;81;81
L223746;82;82;82
L223745;83;83;83
L223747;84;84;84
L239874;85;85;85
L239873;86;86;86
L239875;87;87;87
L1729281;88;88;88
L1729283;89;89;89
L1729282;90;90;90
L1764356;91;91;91
L1764358;92;92;92
L1764357;93;93;93
L1362694;94;94;94
L1362692;95;95;95
L1362693;96;96;96
L429826;97;97;97
L429825;98;98;98
L429827;82;58;0
L1361158;83;59;1
L1361156;84;60;2
L1361157;18;9;3
L1523206;19;10;4
L1523205;20;11;5
L1523204;9;15;6
L1590278;10;16;7
L1590276;11;17;8
L1590277;58;82;9
L1737218;59;83;10
L1737217;60;84;11
L1737219;15;18;12
L142082;88;19;13
L142083;89;20;14
L142081;90;12;15
L1525250;61;13;16
L1525251;62;14;17
L1525249;63;3;18
L1591814;27;4;19
L1591813;28;5;20
L1591812;29;30;21
L385539;16;67;22
L385537;17;68;23
L385538;51;69;24
L1589508;0;27;25
L1589510;1;28;26
L1589509;2;29;27
L430337;79;79;28
L430338;80;80;29
L219394;36;88;30
L219393;37;89;31
L219395;38;90;32
L240898;52;51;33
L240897;73;52;34
L303105;81;81;35
L208386;74;61;36
L208385;75;62;37
L1590534;47;47;38
L1590532;48;48;39
L1590533;49;49;40
L1470981;42;0;41
L1470980;43;1;42
L1470982;44;2;43
L219905;12;42;44
L219907;13;43;45
L219906;14;44;46
L217089;64;63;47
L217091;65;36;48
L217090;66;37;49
L1683716;30;31;50
L1683718;31;32;51
L1683717;32;94;52
L225026;33;38;53
L225027;34;33;54
L225025;35;34;55
L1960452;3;73;56
L1960453;4;74;57
L1960454;5;75;58
L473602;91;64;59
L473601;92;65;60
L473603;93;66;61
L224258;94;95;62
L224257;95;96;63
L224259;96;35;64
L1472262;24;91;65
L1472261;25;92;66
L1472260;26;93;67
L1472773;67;6;68
L1472774;68;7;69
L1472772;69;8;70
L1591044;21;24;71
L1591045;22;25;72
L1591046;23;26;73
L128771;50;21;74
L128770;97;22;75
L128769;98;23;76
L1472005;39;50;77
L1472006;40;39;78
L1472004;41;40;79
L1299717;53;97;80
L1299718;54;98;81
L1299716;55;41;82
L463107;6;56;83
L463105;7;57;84
L463106;8;76;85
L431106;70;70;86
L431105;71;71;87
L222979;72;72;88
L222978;56;85;89
L222977;57;86;90
L219137;76;77;91
L204289;77;87;92
L204290;78;78;93
L343809;45;45;94
L343810;46;46;95
L1952258;85;53;96
L1952257;86;54;97
L1952259;87;55;98
L422146;36;58;0
L422147;37;59;1
L422145;38;60;2
L1470726;30;31;3
L1470725;31;32;4
L1470724;32;94;5
L128514;82;9;6
L128513;83;10;7
L142593;84;11;8
L142594;91;15;9
L463363;9;16;10
L463361;10;17;11
L463362;11;88;12
L313602;88;89;13
L313601;89;90;14
L313603;90;67;15
L217345;58;4;16
L217346;59;5;17
L127745;92;82;18
L421891;93;83;19
L421890;18;84;20
L421889;19;68;21
L430849;60;30;22
L430851;12;42;23
L430850;13;43;24
L223491;20;64;25
L223490;53;65;26
L223489;54;66;27
L211713;14;44;28
L236801;55;18;29
L236803;27;19;30
L236802;28;20;31
L129282;15;69;32
L129283;16;79;33
L129281;17;80;34
L298500;61;3;35
L298502;62;12;36
L298501;63;13;37
L1590020;76;14;38
L1590022;73;45;39
L1590021;74;46;40
L150530;51;97;41
L150529;29;98;42
L150531;52;41;43
L128257;85;53;44
L128258;86;54;45
L1469190;75;73;46
L1469188;79;74;47
L1469189;80;75;48
L1672452;0;27;49
L1672453;1;28;50
L1672454;2;29;51
L219650;47;61;52
L219649;48;62;53
L219651;49;81;54
L1522946;64;77;55
L1522947;65;63;56
L1522945;66;36;57
L430082;81;0;58
L430083;45;1;59
L430081;46;2;60
L1804549;42;37;61
L1804550;43;38;62
L1804548;44;55;63
L463873;3;95;64
L463874;4;96;65
L463875;5;39;66
L1590789;24;47;67
L1590790;25;48;68
L1590788;26;49;69
L400129;21;91;70
L400130;22;92;71
L400131;23;93;72
L143107;87;51;73
L143106;33;52;74
